,time,pgn,priority,source,destination,data,description
0,0.0,60928,6,71,255,4D 74 30 04 00 34 02 20 ,Unknown
1,1.0,60928,6,6,255,4D 74 30 04 00 0E 00 20 ,Unknown
2,1.0,60928,6,3,255,4D 74 30 04 00 03 02 20 ,Unknown
3,27.0,60928,6,0,255,56 F5 29 04 00 00 02 20 ,Unknown
4,29.0,61444,3,0,255,F0 FF 00 00 00 FF FF FF ,Unknown
5,30.0,59904,6,0,255,00 EE 00 ,Unknown
6,39.0,61443,3,0,255,FF 00 00 FF 00 FF FF FF ,Unknown
7,40.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
8,40.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
9,49.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
10,59.0,61443,3,0,255,FF 00 00 FF 44 FF FF FF ,Unknown
11,60.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
12,60.0,61184,6,0,6,64 0E 03 02 FF FF FF FF ,Unknown
13,69.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
14,72.0,60928,6,23,255,0C 6E 24 04 00 13 02 20 ,Unknown
15,79.0,61443,3,0,255,FF 00 00 FF 44 FF FF FF ,Unknown
16,80.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
17,80.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
18,81.0,65247,6,0,255,7D A6 27 FF FF FF FF FF ,Unknown
19,82.0,60416,7,0,255,20 22 00 05 FF E3 FE 00 ,Unknown
20,89.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
21,99.0,61443,3,0,255,FF 00 00 FF 44 FF FF FF ,Unknown
22,100.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
23,100.0,65263,6,0,255,FF FF FF FE FF FF FF FA ,Unknown
24,109.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
25,119.0,61443,3,0,255,FF 00 00 FF 44 FF FF FF ,Unknown
26,120.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
27,129.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
28,132.0,60160,7,0,255,01 20 1C DD 68 42 DC A0 ,Unknown
29,139.0,61443,3,0,255,FF 00 00 FF 44 FF FF FF ,Unknown
30,140.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
31,140.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
32,149.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
33,159.0,61443,3,0,255,FF 00 00 FF 44 FF FF FF ,Unknown
34,160.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
35,160.0,61184,6,0,6,64 0E 0D 02 FF FF FF FF ,Unknown
36,169.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
37,179.0,61443,3,0,255,FF 00 00 FF 44 FF FF FF ,Unknown
38,180.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
39,180.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
40,181.0,65270,6,0,255,FF 00 40 FF 00 FF FF FF ,Unknown
41,182.0,60160,7,0,255,02 0F D5 8D 20 E3 7A 31 ,Unknown
42,189.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
43,199.0,61184,6,0,250,64 01 FF 00 00 FF FF FF ,Unknown
44,200.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
45,200.0,61443,3,0,255,FF 00 00 FF 44 FF FF FF ,Unknown
46,209.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
47,219.0,61443,3,0,255,FF 00 00 FF 44 FF FF FF ,Unknown
48,220.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
49,229.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
50,232.0,60160,7,0,255,03 F1 C0 44 FF FF 04 01 ,Unknown
51,239.0,61443,3,0,255,FF 00 00 FF 44 FF FF FF ,Unknown
52,240.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
53,240.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
54,249.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
55,259.0,61443,3,0,255,FF 00 00 FF 44 FF FF FF ,Unknown
56,260.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
57,260.0,61184,6,0,6,64 0E 17 06 FF FF FF FF ,Unknown
58,261.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
59,262.0,61184,1,6,0,64 15 10 F0 00 00 E5 13 ,Unknown
60,263.0,0,3,6,0,30 FF FF FF F8 FF FF FF ,Unknown
61,269.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
62,279.0,61443,3,0,255,FF 00 00 FF 44 FF FF FF ,Unknown
63,280.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
64,280.0,60928,6,0,255,56 F5 29 04 00 00 02 20 ,Unknown
65,281.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
66,281.0,126720,3,71,6,01 04 FF FF FF FF FF F1 ,Unknown
67,282.0,61184,1,6,0,64 15 10 F0 00 00 E5 13 ,Unknown
68,283.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
69,283.0,65531,6,6,255,00 05 7D F8 FF FF FF FF ,Unknown
70,284.0,65534,3,6,255,5C CB 27 CB 27 FF FF FF ,Unknown
71,284.0,59904,6,71,255,00 EE 00 ,Unknown
72,285.0,60160,7,0,255,04 20 4E 00 01 FA C9 FA ,Unknown
73,289.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
74,299.0,61443,3,0,255,FF 00 00 FF 44 FF FF FF ,Unknown
75,300.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
76,300.0,65262,6,0,255,47 3E FF FF FF FF FF FF ,Unknown
77,301.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
