,time,pgn,priority,source,destination,data,description
0,0.0,60928,6,71,255,4D 74 30 04 00 34 02 20 ,Unknown
1,1.0,60928,6,6,255,4D 74 30 04 00 0E 00 20 ,Unknown
2,1.0,60928,6,3,255,4D 74 30 04 00 03 02 20 ,Unknown
3,29.0,60928,6,0,255,56 F5 29 04 00 00 02 20 ,Unknown
4,32.0,61444,3,0,255,F0 FF 00 00 00 FF FF FF ,Unknown
5,32.0,59904,6,0,255,00 EE 00 ,Unknown
6,42.0,61443,3,0,255,FF 00 00 FF 00 FF FF FF ,Unknown
7,42.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
8,43.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
9,52.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
10,62.0,61443,3,0,255,FF 00 00 FF 01 FF FF FF ,Unknown
11,62.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
12,63.0,61184,6,0,6,64 0E 03 02 FF FF FF FF ,Unknown
13,71.0,60928,6,23,255,0C 6E 24 04 00 13 02 20 ,Unknown
14,72.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
15,82.0,61443,3,0,255,FF 00 00 FF 01 FF FF FF ,Unknown
16,82.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
17,83.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
18,83.0,65247,6,0,255,7D 20 1C FF FF FF FF FF ,Unknown
19,84.0,60416,7,0,255,20 22 00 05 FF E3 FE 00 ,Unknown
20,92.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
21,102.0,61443,3,0,255,FF 00 00 FF 01 FF FF FF ,Unknown
22,102.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
23,103.0,65263,6,0,255,FF FF FF FE FF FF FF FA ,Unknown
24,112.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
25,122.0,61443,3,0,255,FF 00 00 FF 01 FF FF FF ,Unknown
26,122.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
27,132.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
28,135.0,60160,7,0,255,01 20 1C DD 68 42 DC A0 ,Unknown
29,142.0,61443,3,0,255,FF 00 00 FF 01 FF FF FF ,Unknown
30,142.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
31,143.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
32,152.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
33,162.0,61443,3,0,255,FF 00 00 FF 01 FF FF FF ,Unknown
34,162.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
35,163.0,61184,6,0,6,64 0E 0D 02 FF FF FF FF ,Unknown
36,172.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
37,182.0,61443,3,0,255,FF 00 00 FF 01 FF FF FF ,Unknown
38,182.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
39,183.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
40,183.0,65270,6,0,255,FF 00 40 FF 00 FF FF FF ,Unknown
41,184.0,60160,7,0,255,02 0F D5 8D 20 E3 7A 31 ,Unknown
42,192.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
43,202.0,61184,6,0,250,64 01 FF 00 00 FF FF FF ,Unknown
44,202.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
45,203.0,61443,3,0,255,FF 00 00 FF 01 FF FF FF ,Unknown
46,212.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
47,222.0,61443,3,0,255,FF 00 00 FF 01 FF FF FF ,Unknown
48,222.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
49,232.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
50,235.0,60160,7,0,255,03 F1 C0 44 FF FF 04 01 ,Unknown
51,242.0,61443,3,0,255,FF 00 00 FF 01 FF FF FF ,Unknown
52,242.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
53,243.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
54,252.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
55,261.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
56,262.0,61184,1,6,0,64 15 10 F0 00 00 25 0E ,Unknown
57,262.0,0,3,6,0,30 FF FF FF F8 FF FF FF ,Unknown
58,263.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
59,264.0,61443,3,0,255,FF 00 00 FF 01 FF FF FF ,Unknown
60,264.0,61184,6,0,6,64 0E 17 06 FF FF FF FF ,Unknown
61,272.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
62,281.0,126720,3,71,6,01 04 FF FF FF FF FF F1 ,Unknown
63,282.0,61443,3,0,255,FF 00 00 FF 01 FF FF FF ,Unknown
64,282.0,61184,1,6,0,64 15 10 F0 00 00 25 0E ,Unknown
65,283.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
66,283.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
67,284.0,60928,6,0,255,56 F5 29 04 00 00 02 20 ,Unknown
68,285.0,65534,3,6,255,5C 4B 1C 4B 1C FF FF FF ,Unknown
69,285.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
70,286.0,65531,6,6,255,00 05 7D F8 FF FF FF FF ,Unknown
71,286.0,60160,7,0,255,04 20 4E 00 01 FA C9 FA ,Unknown
72,287.0,59904,6,71,255,00 EE 00 ,Unknown
73,292.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
74,301.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
75,302.0,61184,1,6,0,64 15 10 F0 00 00 25 0E ,Unknown
76,302.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
77,303.0,61443,3,0,255,FF 00 00 FF 01 FF FF FF ,Unknown
